max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,sensitivity,specificity
4,5,5,gini,0.7206190599247708,0.7070993914807302,0.7340714840714841
4,10,1,gini,0.7206190599247708,0.7070993914807302,0.7340714840714841
6,20,5,gini,0.7205210243284151,0.7030425963488843,0.7379352226720648
6,20,2,gini,0.7204198097535164,0.7016227180527382,0.7391477528319633
6,20,5,entropy,0.7186972135740334,0.6748478701825558,0.7623780313253997
6,5,2,entropy,0.718393467301642,0.6766734279918863,0.7599537889011574
6,2,2,entropy,0.718393467301642,0.6766734279918863,0.7599537889011574
6,20,2,entropy,0.718393467301642,0.6764705882352942,0.7601558091031775
6,10,10,entropy,0.7182922527267432,0.6815415821501014,0.754904101746207
6,5,10,entropy,0.7182922527267432,0.6815415821501014,0.754904101746207
6,5,1,entropy,0.7181910381518445,0.6764705882352942,0.7597517686991371
7,10,2,entropy,0.714648322934997,0.6933062880324544,0.7359015253752095
7,2,2,entropy,0.7144457912375046,0.6931034482758621,0.735699096225412
7,20,1,entropy,0.7144453810467248,0.6918864097363083,0.7369112174375332
7,10,1,entropy,0.7142434646354018,0.6926977687626775,0.7356995051731893
7,5,5,entropy,0.7142431569923171,0.6906693711967546,0.7377188892978366
7,20,10,entropy,0.7141418398697235,0.6872210953346856,0.7409528483212694
7,2,1,entropy,0.7140407278425196,0.6918864097363083,0.7361035455772298
8,2,10,entropy,0.7089794863591057,0.6894523326572007,0.7284280047437942
7,20,2,gini,0.708879502356546,0.69026369168357,0.7274150410992517
7,5,10,gini,0.7085752433456801,0.6955375253549696,0.7215556373451111
7,20,5,gini,0.7084741313184763,0.6900608519269776,0.7268061178587495
7,20,5,gini,0.7084741313184763,0.6900608519269776,0.7268061178587495
7,5,2,gini,0.7079683660870671,0.6892494929006086,0.7266065513433936
8,20,2,entropy,0.7077656292941847,0.6797160243407708,0.7357085020242915
8,20,2,entropy,0.7077656292941847,0.6797160243407708,0.7357085020242915
7,10,2,gini,0.7076646198146758,0.689655172413793,0.7255964503332923
7,2,2,gini,0.7074621906648781,0.6886409736308317,0.7262025109393531
7,2,2,gini,0.7074621906648781,0.6886409736308317,0.7262025109393531
8,10,2,gini,0.7044264712517793,0.6730223123732252,0.7357080930765141
8,10,2,gini,0.7044264712517793,0.6730223123732252,0.7357080930765141
8,2,1,gini,0.7043245388430159,0.6732251521298175,0.7353024168813642
9,5,10,entropy,0.7041202638347095,0.6957403651115619,0.7124729072097493
9,10,10,entropy,0.7041202638347095,0.6957403651115619,0.7124729072097493
10,20,2,entropy,0.6977439507114759,0.6953346855983773,0.7001500838342942
9,20,5,gini,0.6970361665210489,0.697971602434077,0.6961043634727846
9,10,5,gini,0.6946061963419186,0.6904665314401622,0.6987322618901566
10,5,5,entropy,0.6936944447862701,0.6931034482758622,0.6942861816546027
10,20,2,gini,0.6903568249592885,0.6876267748478702,0.6930773320247005
10,20,5,gini,0.689749332414506,0.6894523326572009,0.690045393203288
10,20,1,gini,0.6895468007170135,0.685395537525355,0.6936829836829836
10,20,1,gini,0.6895468007170135,0.685395537525355,0.6936829836829836
10,10,1,gini,0.6884328251069572,0.6864097363083165,0.6904514783462151
10,2,1,gini,0.6874196538810201,0.6837728194726167,0.6910559031611664
10,5,2,gini,0.6869144013880856,0.6874239350912779,0.6864094385147017
10,2,2,gini,0.6869144013880856,0.6862068965517241,0.6876223776223777
10,10,5,gini,0.6861046847888954,0.6829614604462474,0.6892377213429846
10,10,5,gini,0.6861046847888954,0.6829614604462474,0.6892377213429846
10,2,5,gini,0.6861046847888954,0.6829614604462474,0.6892377213429846
